_id,imageUrl,hotelId,type,noOfGuests,basePrice,noOfRooms
,https://cache.marriott.com/content/dam/marriott-renditions/MCOGV/mcogv-guestroom-0059-hor-wide.jpg?output-quality=70&interpolation=progressive-bilinear&downsize=400px:*,h-5b3cd3e8-63c5-4df3-923c-3c94b45ab54e,Double Room,4,250,20
,https://cache.marriott.com/content/dam/marriott-renditions/MCOIP/mcoip-villa-9054-hor-wide.jpg?output-quality=70&interpolation=progressive-bilinear&downsize=400px:*,h-5b3cd3e8-63c5-4df3-923c-3c94b45ab54e,Single Room,2,180,25
,https://assets.hyatt.com/content/dam/hyatt/hyattdam/images/2019/03/11/1513/Hotel-De-Anza-P009-Junior-Suite.jpg/Hotel-De-Anza-P009-Junior-Suite.16x9.jpg?imwidth=350,h-5b3cd3e8-63c5-4df3-923c-3c94b45ab54e,Suite,5,350,10
,https://cache.marriott.com/content/dam/marriott-renditions/LASVW/lasvw-traditional-9836-hor-wide.jpg?output-quality=70&interpolation=progressive-bilinear&downsize=400px:*,h-0acb479d-90dc-4a98-9995-45bca39ce534,Double Room,4,285,20
,https://cache.marriott.com/content/dam/marriott-renditions/LASST/lasst-queen-0059-hor-wide.jpg?output-quality=70&interpolation=progressive-bilinear&downsize=400px:*,h-0acb479d-90dc-4a98-9995-45bca39ce534,Single Room,2,200,35
,https://cache.marriott.com/content/dam/marriott-renditions/LASPR/laspr-suite-0681-hor-wide.jpg?output-quality=70&interpolation=progressive-bilinear&downsize=400px:*,h-0acb479d-90dc-4a98-9995-45bca39ce534,Suite,5,375,15
,https://cache.marriott.com/content/dam/marriott-renditions/ATLMQ/atlmq-guestroom-0156-hor-wide.jpg?output-quality=70&interpolation=progressive-bilinear&downsize=400px:*,h-561ba167-7085-4c61-8ac2-02a1ca0d27a0,Double Room,4,200,25
,https://cache.marriott.com/content/dam/marriott-renditions/LASBR/lasbr-guestroom-0096-hor-wide.jpg?output-quality=70&interpolation=progressive-bilinear&downsize=400px:*,h-561ba167-7085-4c61-8ac2-02a1ca0d27a0,Single Room,2,150,20
,https://cache.marriott.com/content/dam/marriott-renditions/LASBR/lasbr-suite-0117-hor-wide.jpg?output-quality=70&interpolation=progressive-bilinear&downsize=400px:*,h-561ba167-7085-4c61-8ac2-02a1ca0d27a0,Suite,5,300,5
,https://cache.marriott.com/content/dam/marriott-renditions/LASBR/lasbr-guestroom-0094-hor-wide.jpg?output-quality=70&interpolation=progressive-bilinear&downsize=400px:*,h-137d3fb4-9ed6-47cf-a4d2-4460efaaee29,Double Room,4,180,35
,https://cache.marriott.com/content/dam/marriott-renditions/LASVW/lasvw-deluxe-9826-hor-wide.jpg?output-quality=70&interpolation=progressive-bilinear&downsize=400px:*,h-137d3fb4-9ed6-47cf-a4d2-4460efaaee29,Single Room,2,120,30
,https://cache.marriott.com/content/dam/marriott-renditions/LASVG/lasvg-villa-8255-hor-wide.jpg?output-quality=70&interpolation=progressive-bilinear&downsize=400px:*,h-137d3fb4-9ed6-47cf-a4d2-4460efaaee29,Suite,5,275,15
,https://cache.marriott.com/content/dam/marriott-renditions/LASCY/lascy-guestroom-0051-hor-wide.jpg?output-quality=70&interpolation=progressive-bilinear&downsize=400px:*,h-cd831309-3ab7-49d4-8568-98075b63077e,Double Room,4,325,20
,https://cache.marriott.com/content/dam/marriott-renditions/LASCY/lascy-guestroom-0054-hor-wide.jpg?output-quality=70&interpolation=progressive-bilinear&downsize=400px:*,h-cd831309-3ab7-49d4-8568-98075b63077e,Single Room,2,250,25
,https://cache.marriott.com/content/dam/marriott-renditions/LASCY/lascy-suite-0063-hor-wide.jpg?output-quality=70&interpolation=progressive-bilinear&downsize=400px:*,h-cd831309-3ab7-49d4-8568-98075b63077e,Suite,5,480,10
,https://cache.marriott.com/content/dam/marriott-renditions/LASWI/laswi-double-guest-4136-hor-wide.jpg?output-quality=70&interpolation=progressive-bilinear&downsize=400px:*,h-982637d8-d555-4f53-803e-b8b8c94daace,Double Room,4,300,20
,https://cache.marriott.com/content/dam/marriott-renditions/LASWI/laswi-junior-suite-5424-hor-wide.jpg?output-quality=70&interpolation=progressive-bilinear&downsize=400px:*,h-982637d8-d555-4f53-803e-b8b8c94daace,Single Room,2,225,35
,https://cache.marriott.com/content/dam/marriott-renditions/LASWI/laswi-luxury-king-5416-hor-wide.jpg?output-quality=70&interpolation=progressive-bilinear&downsize=400px:*,h-982637d8-d555-4f53-803e-b8b8c94daace,Suite,5,450,15
,https://cache.marriott.com/content/dam/marriott-renditions/LAXGR/laxgr-standard-1582-hor-wide.jpg?output-quality=70&interpolation=progressive-bilinear&downsize=400px:*,h-c5eb5b05-6803-4208-a7fe-57afba92a0a8,Double Room,4,225,35
,https://cache.marriott.com/content/dam/marriott-renditions/LAXGR/laxgr-king-1580-hor-wide.jpg?output-quality=70&interpolation=progressive-bilinear&downsize=400px:*,h-c5eb5b05-6803-4208-a7fe-57afba92a0a8,Single Room,2,175,30
,https://cache.marriott.com/content/dam/marriott-renditions/LAXGR/laxgr-suite-livingarea-1024-hor-wide.jpg?output-quality=70&interpolation=progressive-bilinear&downsize=400px:*,h-c5eb5b05-6803-4208-a7fe-57afba92a0a8,Suite,5,350,15
,https://cache.marriott.com/marriottassets/marriott/LAXLD/laxld-guestroom-0037-hor-clsc.jpg?interpolation=progressive-bilinear&downsize=378px:*,h-76bd80a5-4f4b-4741-b87e-9cc83ec2f170,Double Room,4,175,25
,https://cache.marriott.com/content/dam/marriott-renditions/LAXLD/laxld-guestroom-0039-hor-clsc.jpg?interpolation=progressive-bilinear&downsize=400px:*,h-76bd80a5-4f4b-4741-b87e-9cc83ec2f170,Single Room,2,125,20
,https://cache.marriott.com/content/dam/marriott-renditions/LAXLD/laxld-suite-0021-hor-clsc.jpg?interpolation=progressive-bilinear&downsize=400px:*,h-76bd80a5-4f4b-4741-b87e-9cc83ec2f170,Suite,5,285,5
,https://cache.marriott.com/content/dam/marriott-renditions/LAXMP/laxmp-queen-guestroom-0687-hor-wide.jpg?output-quality=70&interpolation=progressive-bilinear&downsize=400px:*,h-1cf4bd7f-afc0-4391-89f0-d815256959a5,Double Room,4,200,25
,https://cache.marriott.com/content/dam/marriott-renditions/LAXMP/laxmp-king-guestroom-0672-hor-wide.jpg?output-quality=70&interpolation=progressive-bilinear&downsize=400px:*,h-1cf4bd7f-afc0-4391-89f0-d815256959a5,Single Room,2,150,40
,https://cache.marriott.com/content/dam/marriott-renditions/LAXMP/laxmp-king-suite-0680-hor-wide.jpg?output-quality=70&interpolation=progressive-bilinear&downsize=400px:*,h-1cf4bd7f-afc0-4391-89f0-d815256959a5,Suite,5,300,15
,https://cache.marriott.com/content/dam/marriott-renditions/LAXLS/laxls-double-superior-5922-hor-wide.jpg?output-quality=70&interpolation=progressive-bilinear&downsize=400px:*,h-e29b45a7-7635-441c-8023-4e60479bec32,Double Room,4,225,20
,https://cache.marriott.com/content/dam/marriott-renditions/LAXLS/laxls-king-guestroom-0949-hor-wide.jpg?output-quality=70&interpolation=progressive-bilinear&downsize=400px:*,h-e29b45a7-7635-441c-8023-4e60479bec32,Single Room,2,175,30
,https://cache.marriott.com/content/dam/marriott-renditions/LAXWB/laxwb-guestroom-6229-hor-wide.jpg?output-quality=70&interpolation=progressive-bilinear&downsize=400px:*,h-e29b45a7-7635-441c-8023-4e60479bec32,Suite,5,350,5
,https://cache.marriott.com/content/dam/marriott-renditions/ATLDO/atldo-queen-queen-5757-hor-wide.jpg?output-quality=70&interpolation=progressive-bilinear&downsize=400px:*,h-b4bc5f3d-e5af-4b23-a379-b9696d931a83,Double Room,4,325,25
,https://cache.marriott.com/content/dam/marriott-renditions/ATLDO/atldo-studio-king-5756-hor-wide.jpg?output-quality=70&interpolation=progressive-bilinear&downsize=400px:*,h-b4bc5f3d-e5af-4b23-a379-b9696d931a83,Single Room,2,250,20
,https://cache.marriott.com/content/dam/marriott-renditions/ATLMQ/atlmq-suite-0182-hor-wide.jpg?output-quality=70&interpolation=progressive-bilinear&downsize=400px:*,h-b4bc5f3d-e5af-4b23-a379-b9696d931a83,Suite,5,480,5
